10.0.2.1 : [0], 84 bytes, 0.23 ms (0.23 avg, 0% loss)
10.0.2.1 : [1], 84 bytes, 0.30 ms (0.26 avg, 0% loss)
10.0.2.1 : [2], 84 bytes, 1.51 ms (0.68 avg, 0% loss)
10.0.2.1 : [3], 84 bytes, 0.33 ms (0.59 avg, 0% loss)
10.0.2.1 : [4], 84 bytes, 0.41 ms (0.55 avg, 0% loss)
10.0.2.3 : [0], 84 bytes, 3.80 ms (3.80 avg, 0% loss)
10.0.2.3 : [1], 84 bytes, 0.25 ms (2.02 avg, 0% loss)
10.0.2.3 : [2], 84 bytes, 0.32 ms (1.45 avg, 0% loss)
10.0.2.3 : [3], 84 bytes, 0.28 ms (1.16 avg, 0% loss)
10.0.2.3 : [4], 84 bytes, 0.34 ms (0.99 avg, 0% loss)
10.0.2.6 : [0], 84 bytes, 0.02 ms (0.02 avg, 0% loss)
10.0.2.6 : [1], 84 bytes, 0.05 ms (0.03 avg, 0% loss)
10.0.2.6 : [2], 84 bytes, 0.17 ms (0.08 avg, 0% loss)
10.0.2.6 : [3], 84 bytes, 0.07 ms (0.07 avg, 0% loss)
10.0.2.6 : [4], 84 bytes, 0.04 ms (0.07 avg, 0% loss)
